epoch,angle_loss,center_coord_loss,center_heatmap_loss,confidence_loss,distillation_loss,global_gradient_norm,temperature_loss,tip_coord_loss,tip_heatmap_loss,total_loss,val_angle_loss,val_center_coord_loss,val_center_heatmap_loss,val_confidence_loss,val_distillation_loss,val_temperature_loss,val_tip_coord_loss,val_tip_heatmap_loss,val_total_loss,val_v3_replay_accepted_mae,val_v3_replay_acceptance_rate,val_v3_replay_worst_accepted_error,val_v3_replay_accepted_gt20_failures,val_v3_replay_temperature_delta_mean,val_v3_replay_temperature_delta_median,val_v3_replay_temperature_delta_p90,val_v3_replay_center_delta_mean,val_v3_replay_tip_delta_mean,val_v3_replay_guardrail_disagreements,val_v3_replay_score,learning_rate
1,0.0023,9.2887e-05,0.3433,0.4081,0.6330,397.7172,3.9488e-04,8.9584e-04,2.6171,5.7175,0.0069,2.1011e-04,0.6918,0.3680,0.6113,7.2155e-04,0.0029,8.4817,17.7969,2.5416,0.7872,8.2852,0,0.4807,0.4773,0.9725,0.2475,3.3134,0,3.7941,3e-6
2,0.0024,2.6093e-04,0.8502,0.3506,0.6009,534.9060,2.8922e-04,6.9933e-04,2.1204,5.2205,0.0065,2.0214e-04,0.6692,0.3696,0.6116,6.4542e-04,0.0026,7.7667,16.3437,2.3358,0.8511,8.3222,0,0.3183,0.3463,0.5266,0.4631,2.7737,3,3.0920,3e-6
3,0.0048,2.8500e-04,0.9243,0.3881,0.6275,198.7316,4.8639e-04,5.4056e-04,1.6953,4.4541,0.0065,2.0350e-04,0.6752,0.3650,0.6117,6.3335e-04,0.0027,7.9456,16.7071,2.2699,0.8511,8.2211,0,0.3196,0.3037,0.6256,0.4832,2.6239,3,2.9435,3e-6
4,0.0049,7.0535e-05,0.2756,0.3686,0.6080,482.8030,7.7729e-04,0.0013,3.9225,8.2567,0.0066,1.9881e-04,0.6627,0.3628,0.6121,6.3778e-04,0.0027,8.0178,16.8389,2.2400,0.8511,8.1162,0,0.3218,0.2735,0.7441,0.7351,2.6696,3,2.9914,3e-6
5,4.0559e-04,4.9250e-05,0.2151,0.4013,0.6361,155.4801,1.5718e-04,2.7683e-04,0.9757,2.3032,0.0065,1.9581e-04,0.6546,0.3594,0.6122,6.4364e-04,0.0026,7.5464,15.8873,2.2127,0.8511,8.1162,0,0.3599,0.2637,0.7465,0.6352,3.0048,3,3.3647,3e-6
6,0.0014,7.8487e-05,0.2954,0.3698,0.6128,455.4876,1.9351e-04,7.4578e-04,2.2859,4.9991,0.0070,1.9111e-04,0.6403,0.3658,0.6124,7.1738e-04,0.0023,6.8943,14.5695,2.2749,0.8723,8.0648,0,0.5520,0.5313,1.0199,0.6251,4.0401,4,4.5921,3e-6
7,0.0061,1.2038e-04,0.4305,0.3556,0.6087,1330.2826,5.6689e-04,0.0020,5.9517,12.4711,0.0076,1.9435e-04,0.6505,0.3631,0.6123,7.6716e-04,0.0030,8.9727,18.7383,2.2657,0.7872,8.3514,0,0.5258,0.3932,1.1388,0.8032,3.5802,0,4.1060,3e-6
8,0.0012,1.0100e-04,0.3750,0.3886,0.6274,1540.3154,5.2419e-04,0.0029,8.4843,17.4840,0.0074,1.9877e-04,0.6644,0.3627,0.6124,7.6107e-04,0.0028,8.1929,17.1918,2.2656,0.8085,8.2141,0,0.5242,0.4483,1.0798,0.7982,4.0009,1,4.5251,1.5e-6
9,8.6543e-04,3.9357e-05,0.1864,0.3950,0.6331,232.2796,1.4698e-04,2.1113e-04,0.7896,1.9014,0.0063,1.9483e-04,0.6522,0.3620,0.6124,6.4489e-04,0.0022,6.4134,13.6183,2.1297,0.8511,7.9258,0,0.4204,0.3153,0.8112,0.7064,4.0124,3,4.4329,1.5e-6
10,0.0068,1.3844e-04,0.4856,0.4130,0.6389,988.0148,8.6244e-04,0.0016,4.9906,10.6146,0.0064,1.9274e-04,0.6468,0.3579,0.6126,6.3359e-04,0.0024,6.9823,14.7508,2.1076,0.8511,8.0494,0,0.4030,0.2728,0.8604,0.7751,3.4214,3,3.8244,1.5e-6
11,0.0033,1.2143e-04,0.4300,0.3933,0.6309,433.8298,4.7294e-04,8.6209e-04,2.5748,5.7190,0.0068,1.9354e-04,0.6500,0.3579,0.6127,6.6390e-04,0.0026,7.7845,16.3593,2.1255,0.8298,8.2060,0,0.4598,0.3293,1.0661,0.8555,3.2757,2,3.7355,1.5e-6
12,0.0030,9.2562e-05,0.3434,0.3700,0.6133,792.8874,5.0427e-04,9.8948e-04,2.8653,6.2083,0.0067,1.9302e-04,0.6480,0.3575,0.6127,6.6445e-04,0.0025,7.3460,15.4798,2.1034,0.8511,8.1102,0,0.4694,0.2974,1.0542,0.8561,3.5113,3,3.9807,1e-6
13,0.0026,9.9361e-05,0.3596,0.3908,0.6277,1354.6532,5.4663e-04,0.0016,4.6738,9.8466,0.0064,1.9286e-04,0.6474,0.3571,0.6127,6.4158e-04,0.0023,6.6502,14.0868,2.2149,0.8723,8.0375,0,0.4595,0.3148,1.0415,0.8134,3.7389,4,4.1984,1e-6
