datetime,value_degC
2026-04-15_08-22-31,-28.6
2026-04-15_08-24-05,-28.6
2026-04-15_08-25-40,-28.6
2026-04-15_08-27-14,-28.6
2026-04-15_08-28-49,-28.6
2026-04-15_08-30-23,-28.6
2026-04-15_08-31-57,-28.6
2026-04-15_08-33-32,-28.6
2026-04-15_08-35-06,-28.6
2026-04-15_08-36-40,-28.6
2026-04-15_08-38-15,-28.6
2026-04-15_08-39-49,-28.6
2026-04-15_08-41-23,-28.6
2026-04-15_08-42-57,-28.6
2026-04-15_08-43-58,-28.6
2026-04-15_08-43-58,-28.6
2026-04-15_08-43-58,-28.6
2026-04-15_08-43-58,-28.6
2026-04-15_08-49-47,-28.6
2026-04-15_08-51-22,-28.6
2026-04-15_08-52-57,-28.6
2026-04-15_08-54-32,-28.6
2026-04-15_08-56-07,-28.6
2026-04-15_08-57-42,-28.6
2026-04-15_08-59-18,-28.6
2026-04-15_09-01-17,-28.6
2026-04-15_09-02-52,-28.6
2026-04-15_09-04-27,-28.6
2026-04-15_09-06-02,-28.6
2026-04-15_09-07-37,-28.6
2026-04-15_09-09-13,-28.6
2026-04-15_09-10-48,-28.6
2026-04-15_09-12-24,-28.6
2026-04-15_09-13-59,-28.6
2026-04-15_09-15-34,-28.6
2026-04-15_09-17-09,-28.6
2026-04-15_09-18-45,-28.6
2026-04-15_09-20-20,-28.6
2026-04-15_09-21-56,-28.6
2026-04-15_09-23-31,-28.6
2026-04-15_09-25-07,-28.6
2026-04-15_09-26-42,-28.6
2026-04-15_09-28-17,-28.6
2026-04-15_09-29-53,-28.6
2026-04-15_09-31-29,-28.6
2026-04-15_09-33-04,-28.6
2026-04-15_09-34-40,-28.6
2026-04-15_09-36-16,-28.6
2026-04-15_09-37-51,-28.6
2026-04-15_09-39-27,-28.6
2026-04-15_09-41-03,-28.6
2026-04-15_09-42-38,-28.6
2026-04-15_09-44-51,-28.6
2026-04-15_09-46-27,-28.6
2026-04-15_09-48-03,-28.6
2026-04-15_09-49-38,-28.6
2026-04-15_09-51-14,-28.6
2026-04-15_09-52-50,-28.6
2026-04-15_09-54-26,-28.6
2026-04-15_09-56-02,-28.6
2026-04-15_09-57-38,-28.6
2026-04-15_09-59-14,-28.6
2026-04-15_10-00-16,-28.6
2026-04-15_10-01-52,-28.6
2026-04-15_10-03-28,-28.6
2026-04-15_10-06-45,-28.6
2026-04-15_10-08-21,-28.6
2026-04-15_10-09-57,-28.6
2026-04-15_10-11-34,-28.6
2026-04-15_10-13-10,-28.6
2026-04-15_10-14-46,-28.6
2026-04-15_10-17-04,-4.3
2026-04-15_10-18-40,-4.3
2026-04-15_10-20-17,-4.3
2026-04-15_10-21-54,-4.3
2026-04-15_10-22-58,27.7
2026-04-15_10-24-35,22.2
2026-04-15_10-26-11,28.9
2026-04-15_10-27-47,19.7
2026-04-15_10-29-24,17.9
2026-04-15_10-31-00,21.8
2026-04-15_10-32-36,15.1
2026-04-15_10-34-13,18.5
2026-04-15_10-35-49,21.0
2026-04-15_10-37-26,15.1
2026-04-15_10-38-12,15.1
2026-04-15_10-39-48,15.3
2026-04-15_10-41-25,16.1
2026-04-15_10-43-02,19.0
2026-04-15_10-45-21,35.2
2026-04-15_10-46-57,35.4
2026-04-15_10-48-35,33.8
2026-04-15_10-50-11,35.9
2026-04-15_10-51-48,34.1
2026-04-15_10-53-25,38.2
2026-04-15_10-55-02,35.6
2026-04-15_10-56-38,33.9
2026-04-15_10-58-15,35.6
2026-04-15_10-59-52,35.6
2026-04-15_11-01-29,38.7
2026-04-15_11-03-06,42.2
2026-04-15_11-07-36,-28.6
2026-04-15_11-09-14,-28.6
2026-04-15_11-10-51,-28.6
2026-04-15_11-12-28,-28.6
2026-04-15_11-14-05,-28.6
2026-04-15_11-15-42,-28.6
2026-04-15_11-17-19,-28.6
2026-04-15_11-18-56,-28.6
2026-04-15_11-20-33,-28.6
2026-04-15_11-22-11,-28.6
2026-04-15_11-23-48,-28.6
2026-04-15_11-25-25,-28.6
2026-04-15_11-27-02,-28.6
2026-04-15_11-53-49,30.0
2026-04-15_11-55-26,30.3
2026-04-15_11-57-03,30.2
2026-04-15_11-58-39,29.8
2026-04-15_12-07-20,29.4
