image_path,value
captured_images/capture_2026-04-22_07-15-36.png,28
captured_images/capture_2026-04-22_07-16-50.png,28
captured_images/capture_2026-04-22_07-18-03.png,28
captured_images/capture_2026-04-22_07-19-17.png,28
captured_images/capture_2026-04-22_07-20-31.png,28
captured_images/capture_2026-04-22_07-21-44.png,28
captured_images/capture_2026-04-22_07-22-58.png,28
captured_images/capture_2026-04-22_07-24-43.png,28
captured_images/capture_2026-04-22_07-25-57.png,28
captured_images/capture_2026-04-22_07-27-11.png,28
captured_images/capture_2026-04-22_07-28-25.png,28
captured_images/capture_2026-04-22_07-29-38.png,28
captured_images/capture_2026-04-22_07-30-52.png,28
captured_images/capture_2026-04-22_07-32-06.png,28
captured_images/capture_2026-04-22_07-33-19.png,28
captured_images/capture_2026-04-22_07-33-52.png,28
captured_images/capture_2026-04-22_07-35-06.png,28
captured_images/capture_2026-04-22_07-36-19.png,28
captured_images/capture_2026-04-22_07-37-33.png,28
captured_images/capture_2026-04-22_07-38-47.png,28
captured_images/capture_2026-04-22_07-40-01.png,28
captured_images/capture_2026-04-22_07-41-14.png,28
captured_images/capture_2026-04-22_07-42-17.png,28
captured_images/capture_2026-04-22_07-43-30.png,28
captured_images/capture_2026-04-22_07-44-43.png,28
captured_images/capture_2026-04-22_07-45-57.png,28
